Allrounder_Rating,Innings_Bat_AllRounder,Runs_Scored_AllRounder,Batting_Average_AllRounder,Batting_Strike_Rate_AllRounder,Fifties_AllRounder,Fours_AllRounder,Sixes_AllRounder,Innings_As_Bowl_Allrounder,Wickets_AllRounder,Economy_AllRounder,Bowling_Average_AllRounder,Bowling_Strike_Rate_AllRounder
213,40,844,24.11,129.85,8,78,26,39,32,7.21,29.28,24.38
204,54,1576,35.02,160.0,9,135,81,40,26,7.49,27.08,21.69
170,21,436,24.22,150.34,4,40,20,20,19,7.41,24.58,19.89
159,31,601,20.72,99.67,4,68,14,30,35,6.48,16.86,15.6
153,29,621,27.0,112.3,6,47,15,15,21,6.38,13.76,12.95
152,41,762,19.54,122.31,5,92,22,40,44,6.67,19.98,17.98
135,26,547,24.86,111.63,4,68,12,21,18,6.77,24.83,22.0
135,79,1474,24.16,122.63,6,119,48,55,31,7.29,27.87,22.94
116,72,1201,24.02,152.6,5,90,64,66,51,9.22,32.84,21.37
112,29,454,26.71,131.59,4,38,13,42,54,6.29,17.37,16.57
110,13,216,30.86,138.46,3,12,12,16,22,6.02,14.68,14.64
108,32,282,14.1,124.23,2,25,7,43,52,7.36,21.08,17.17
107,88,1992,25.22,116.63,13,210,52,67,54,6.59,22.7,20.69
104,30,267,12.71,145.11,2,31,7,42,42,5.97,21.62,21.71
102,12,190,19.0,101.06,2,14,2,13,12,5.92,17.83,18.08
100,34,485,17.96,142.65,5,29,29,19,11,8.93,40.45,27.18
97,16,335,23.93,105.02,3,32,10,12,17,4.91,10.12,12.35
96,14,398,36.18,140.14,6,33,20,8,11,5.48,13.45,14.73
94,62,1724,31.35,156.44,13,134,107,12,4,9.46,46.5,29.5
94,60,1123,23.4,132.27,6,75,66,48,35,8.43,26.26,18.69
92,77,2124,29.5,139.28,20,253,71,35,17,7.57,34.29,27.18
90,26,620,26.96,121.57,4,58,21,23,5,6.71,65.8,58.8
89,39,492,17.57,124.24,3,36,24,31,17,8.28,36.53,26.47
87,27,223,14.87,131.95,2,18,12,46,58,8.66,24.26,16.81
86,23,163,14.82,125.38,2,12,10,48,89,6.14,12.63,12.34
86,23,305,17.94,134.36,2,27,13,21,14,8.83,40.79,27.71
82,6,135,33.75,168.75,3,13,6,10,7,8.41,34.86,24.86
82,23,357,18.79,110.19,2,32,10,23,25,7.11,18.48,15.6
81,50,885,18.83,125.35,4,88,35,14,6,10.42,45.17,26.0
80,40,464,16.0,109.69,3,33,8,57,53,6.94,22.06,19.08
