Allrounder_Rating,Matches_As_Bat_AllRounder,Innings_Bat_AllRounder,Runs_Scored_AllRounder,Batting_Average_AllRounder,Batting_Strike_Rate_AllRounder,Centuries_AllRounder,Double_Centuries_AllRounder,Fifties_AllRounder,Fours_AllRounder,Sixes_AllRounder,Innings_As_Bowl_Allrounder,Wickets_AllRounder,Economy_AllRounder,Bowling_Average_AllRounder,Bowling_Strike_Rate_AllRounder,FiveWickets_AllRounder,TenWickets_AllRounder
213,40,40,844,24.11,129.85,0,0,8,78,26,39,32,7.21,29.28,24.38,0,0
204,61,54,1576,35.02,160,3,0,9,135,81,40,26,7.49,27.08,21.69,0,0
170,23,21,436,24.22,150.34,0,0,4,40,20,20,19,7.41,24.58,19.89,0,0
159,31,31,601,20.72,99.67,0,0,4,68,14,30,35,6.48,16.86,15.6,0,0
153,31,29,621,27,112.3,0,0,6,47,15,15,21,6.38,13.76,12.95,0,0
152,42,41,762,19.54,122.31,0,0,5,92,22,40,44,6.67,19.98,17.98,0,0
135,30,26,547,24.86,111.63,0,0,4,68,12,21,18,6.77,24.83,22,0,0
135,87,79,1474,24.16,122.63,0,0,6,119,48,55,31,7.29,27.87,22.94,0,0
116,81,72,1201,24.02,152.6,0,0,5,90,64,66,51,9.22,32.84,21.37,0,0
112,42,29,454,26.71,131.59,0,0,4,38,13,42,54,6.29,17.37,16.57,0,0
110,16,13,216,30.86,138.46,0,0,3,12,12,16,22,6.02,14.68,14.64,0,0
108,44,32,282,14.1,124.23,0,0,2,25,7,43,52,7.36,21.08,17.17,0,0
107,91,88,1992,25.22,116.63,0,0,13,210,52,67,54,6.59,22.7,20.69,0,0
104,43,30,267,12.71,145.11,0,0,2,31,7,42,42,5.97,21.62,21.71,1,0
102,14,12,190,19,101.06,0,0,2,14,2,13,12,5.92,17.83,18.08,0,0
100,36,34,485,17.96,142.65,0,0,5,29,29,19,11,8.93,40.45,27.18,0,0
97,16,16,335,23.93,105.02,0,0,3,32,10,12,17,4.91,10.12,12.35,0,0
96,14,14,398,36.18,140.14,0,0,6,33,20,8,11,5.48,13.45,14.73,0,0
94,65,62,1724,31.35,156.44,3,0,13,134,107,12,4,9.46,46.5,29.5,0,0
94,73,60,1123,23.4,132.27,0,0,6,75,66,48,35,8.43,26.26,18.69,0,0
92,78,77,2124,29.5,139.28,0,0,20,253,71,35,17,7.57,34.29,27.18,0,0
90,27,26,620,26.96,121.57,1,0,4,58,21,23,5,6.71,65.8,58.8,0,0
89,48,39,492,17.57,124.24,0,0,3,36,24,31,17,8.28,36.53,26.47,0,0
87,46,27,223,14.87,131.95,0,0,2,18,12,46,58,8.66,24.26,16.81,0,0
86,48,23,163,14.82,125.38,0,0,2,12,10,48,89,6.14,12.63,12.34,2,0
86,26,23,305,17.94,134.36,0,0,2,27,13,21,14,8.83,40.79,27.71,0,0
82,11,6,135,33.75,168.75,0,0,3,13,6,10,7,8.41,34.86,24.86,0,0
