Batsmen_Rating,Matches_Bat,Innings_Bat,Runs_Scored_Bat,Batting_Average_Bat,Batting_Strike_Rate_Bat,Centuries_Bat,Double_Centuries_Bat,Fifties_Bat,Fours_Bat,Sixes_Bat
879,38,38,1471,50.72,128.14,0,0,13,146,21
435,2,2,21,10.5,84,0,0,0,2,0
470,2,2,18,9,105.88,0,0,0,1,1
280,13,11,238,21.64,136,0,0,2,24,10
584,60,58,1665,32.65,125,0,0,11,170,36
721,61,54,1576,35.02,160,3,0,7,133,81
343,17,14,130,10,103.17,0,0,0,13,1
218,20,18,340,20,107.26,0,0,0,28,13
429,31,29,621,27,112.3,0,0,4,45,15
430,58,41,812,28,126.68,0,0,3,79,15
502,100,92,1909,25.8,122.69,0,0,7,122,71
382,10,10,277,39.57,126.48,0,0,3,18,15
354,10,10,318,31.8,123.74,0,0,3,25,10
503,10,10,332,33.2,140.68,0,0,2,26,20
445,10,10,442,49.11,138.56,0,0,5,36,27
718,10,10,469,52.11,153.77,1,0,5,48,20
662,108,100,2773,32.24,138.79,4,0,21,245,127
374,11,11,244,27.11,154.43,0,0,2,13,16
457,11,11,429,47.67,157.72,0,0,3,36,22
487,113,105,2321,31.36,124.18,0,0,8,191,61
216,12,12,159,14.45,118.66,0,0,0,12,7
420,12,12,340,28.33,123.64,0,0,1,34,9
356,12,12,342,31.09,132.56,0,0,3,27,9
503,13,13,273,22.75,114.71,0,0,1,26,7
207,14,14,195,13.93,100.52,0,0,0,16,4
366,14,14,371,28.54,120.06,0,0,2,35,5
390,14,14,398,36.18,140.14,0,0,4,31,20
372,15,11,122,12.2,95.31,0,0,0,10,4
554,15,14,406,31.23,131.82,0,0,2,26,18
676,15,15,570,40.71,155.31,1,0,2,49,40
458,16,15,287,22.08,109.54,0,0,0,27,11
339,17,17,373,26.64,118.41,0,0,2,42,7
599,20,20,592,32.89,120.82,0,0,4,66,15
360,21,19,353,23.53,124.73,0,0,2,29,18
302,21,19,364,24.27,127.27,0,0,1,22,24
451,21,20,417,27.8,129.5,0,0,2,29,19
396,22,22,533,44.42,133.25,0,0,3,27,19
412,23,21,436,24.22,150.34,0,0,2,38,20
355,23,22,429,19.5,138.83,0,0,1,57,8
407,23,23,473,20.57,121.91,0,0,2,52,12
580,23,23,607,26.39,120.44,0,0,4,72,8
508,24,23,457,22.85,139.76,0,0,3,32,29
301,24,23,498,22.64,100.4,0,0,3,47,13
350,25,21,354,19.67,122.92,0,0,1,22,20
304,25,24,331,18.39,128.29,0,0,0,15,19
394,26,23,409,20.45,118.55,0,0,1,21,22
384,26,26,484,18.62,131.52,0,0,5,41,21
400,27,26,620,26.96,121.57,1,0,2,56,21
352,27,27,478,17.7,151.27,0,0,3,65,17
223,28,16,173,14.42,124.46,0,0,0,13,6
482,28,28,697,27.88,114.08,0,0,3,72,8
563,29,29,636,22.71,135.03,0,0,4,60,25
398,30,26,547,24.86,111.63,0,0,2,66,12
359,31,31,601,20.72,99.67,0,0,2,66,14
458,31,31,854,29.45,121.65,0,0,6,65,37
200,32,26,399,33.25,143.53,0,0,0,42,15
522,32,30,893,35.72,126.31,0,0,5,92,16
674,32,31,934,32.21,155.41,2,0,6,64,73
563,34,33,756,22.91,136.71,0,0,4,86,22
625,35,35,860,24.57,147.51,0,0,5,85,41
407,36,34,485,17.96,142.65,0,0,3,27,29
508,36,35,866,26.24,120.61,0,0,6,83,19
562,37,32,725,27.88,139.42,0,0,4,68,31
583,37,36,987,29.91,154.22,1,0,5,114,45
447,38,32,707,47.13,127.62,0,0,3,49,19
879,38,38,1471,50.72,128.14,0,0,13,146,21
463,39,31,681,29.61,130.71,0,0,4,59,16
376,39,39,803,23.62,116.72,0,0,5,81,21
376,39,39,803,23.62,116.72,0,0,5,81,21
451,40,40,844,24.11,129.85,0,0,6,76,26
823,41,38,1461,45.66,146.1,2,0,11,129,61
475,42,35,756,26.07,127.7,0,0,5,77,22
504,42,39,945,25.54,129.81,0,0,4,111,13
370,42,41,762,19.54,122.31,0,0,3,90,22
405,43,41,729,17.78,125.04,0,0,2,68,24
431,44,43,946,24.89,120.82,0,0,4,89,28
625,44,44,1226,31.44,136.07,0,0,6,129,50
540,46,46,1293,28.11,135.25,0,0,12,123,47
524,47,47,1407,34.32,134.13,1,0,8,130,45
483,49,47,1043,26.07,115.25,0,0,7,93,21
496,50,48,1094,28.05,122.92,0,0,7,96,36
484,50,50,885,18.83,125.35,0,0,2,86,35
337,53,52,823,18.7,141.17,0,0,3,53,51
392,54,53,1189,27.02,122.96,0,0,8,108,51
449,5,5,199,49.75,136.3,0,0,0,16,5
435,5,5,219,54.75,164.66,0,0,2,23,12
511,57,56,1386,25.67,122.01,0,0,6,144,45
307,58,54,1627,32.54,142.84,2,0,13,138,105
483,60,51,976,31.48,140.63,0,0,3,63,52
542,60,54,1246,28.32,129.12,1,0,3,117,36
553,60,59,1588,28.36,128.27,0,0,10,175,47
568,60,60,1644,31.02,136.66,1,0,8,176,54
820,61,61,1989,38.25,155.88,2,0,12,196,92
366,63,55,977,20.79,114.94,0,0,2,74,33
785,65,62,1724,31.35,156.44,3,0,11,132,107
375,6,6,171,28.5,115.54,0,0,1,11,4
492,6,6,219,36.5,119.67,0,0,1,25,5
523,69,61,1334,26.68,139.69,0,0,8,114,55
451,69,63,1224,20.75,106.99,0,0,3,73,60
390,73,60,1123,23.4,132.27,0,0,4,73,66
529,77,71,1317,21.95,145.85,0,0,4,82,77
563,78,68,1409,29.35,138.41,1,0,2,96,61
575,78,77,2124,29.5,139.28,0,0,18,251,71
475,78,78,1758,24.08,117.2,1,0,7,189,45
581,79,79,2207,31.53,140.48,1,0,17,215,89
333,81,68,1268,21.13,104.62,0,0,3,108,20
410,81,72,1201,24.02,152.6,0,0,3,88,64
446,81,75,1934,38.68,126.24,0,0,11,138,71
673,81,76,2794,50.8,138.25,0,0,24,258,76
449,86,77,1282,19.72,119.93,0,0,5,110,33
377,8,7,166,55.33,141.88,0,0,1,16,4
529,87,79,1474,24.16,122.63,0,0,4,117,48
641,88,85,2536,32.51,134.61,2,0,15,226,119
687,89,86,2138,30.99,137.49,0,0,13,160,105
407,91,88,1992,25.22,116.63,0,0,11,208,52
509,95,89,1672,21.16,136.05,1,0,3,137,76
301,98,85,1617,37.6,126.13,0,0,2,116,52
