CSK, Shane Watson ,allrounder,134,130,3575,31.09,139.54,4,0,23,347,181,105,94,7.93,29.15,22.05,0,0,F
CSK, Dwayne Bravo ,allrounder,134,102,1483,23.17,128.29,0,0,9,121,65,131,149,8.4,24.61,17.59,0,0,F
CSK, Ravindra Jadeja ,allrounder,170,128,1927,24.09,122.66,0,0,4,139,69,142,110,7.58,29.19,23.1,1,0,I
CSK, Piyush Chawla ,allrounder,157,81,584,11.92,111.45,0,0,4,58,22,156,152,7.82,27.15,20.83,0,0,I
CSK, Mitchell Santner ,allrounder,4,2,32,32,139.13,0,0,4,4,7,4,6,6.71,23.5,21,0,0,F
CSK, Sam Curran ,allrounder,9,8,95,23.75,172.73,0,0,5,17,7,9,12,9.79,32.3,19.8,0,0,F
DC, Marcus Stoinis ,allrounder,29,25,473,31.53,129.95,0,0,5,38,22,24,17,9.3,37.93,24.47,0,0,F
DC, Ravichandran Ashwin ,allrounder,139,52,375,10.71,110.62,0,0,4,36,14,136,127,6.79,26.47,23.39,0,0,I
DC, Axar Patel ,allrounder,82,63,796,18.95,126.35,0,0,4,51,39,81,73,7.46,29.99,24.13,0,0,I
DC, Keemo Paul ,allrounder,8,6,18,3.6,75,0,0,4,5,5,8,11,8.72,26.33,18.11,0,0,F
KX1P, James Neesham ,allrounder,4,3,42,14,91.3,0,0,4,7,5,4,3,10.11,91,54,0,0,F
KX1P, Deepak Hooda ,allrounder,61,45,524,14.56,127.18,0,0,5,31,28,20,9,8.42,44.71,31.86,0,0,I
KX1P, Glenn Maxwell ,allrounder,69,68,1397,22.9,161.13,0,0,10,113,95,43,18,8.73,38.19,26.25,0,0,F
KX1P, Krishnappa Gowtham ,allrounder,22,17,144,12,173.49,0,0,4,14,14,22,14,7.97,39.83,30,0,0,I
KKR, Shivam Mavi ,allrounder,9,4,13,4.33,86.67,0,0,4,5,4,9,7,9.64,54,33.6,0,0,I
KKR, Andre Russell ,allrounder,64,52,1400,33.33,186.42,0,0,12,100,124,61,57,8.88,27.96,18.89,0,0,F
MI, Krunal Pandya ,allrounder,55,48,891,25.46,146.07,0,0,5,90,39,53,42,7.17,28.2,23.6,0,0,I
MI, Kieron Pollard ,allrounder,148,135,2755,28.7,146.78,0,0,18,185,180,81,58,8.86,31.61,21.41,0,0,F
MI, Hardik Pandya ,allrounder,66,61,1068,28.86,154.78,0,0,7,76,72,60,44,9.07,31.26,20.69,0,0,I
MI, Sherfane Rutherford ,allrounder,7,7,73,14.6,135.19,0,0,4,6,11,6,3,8.63,59,41,0,0,F
RR, Ben Stokes ,allrounder,34,33,635,22.68,132.02,1,0,5,47,29,30,28,8.26,31.08,22.58,0,0,F
RR, Shreyas Gopal ,allrounder,31,14,127,14.11,107.63,0,0,4,18,5,30,40,7.5,19.37,15.5,0,0,I
RR, Tom Curran ,allrounder,5,4,23,7.67,82.14,0,0,4,7,4,5,8,11.61,19.67,10.17,0,0,F
RCB, Moeen Ali ,allrounder,16,14,297,24.75,165.92,0,0,7,24,27,14,11,6.97,29.56,25.44,0,0,F
RCB, Washington Sundar ,allrounder,21,13,75,15,141.51,0,0,4,9,8,20,18,7.64,28.19,22.12,0,0,I
RCB, Chris Morris ,allrounder,61,39,517,27.21,157.62,0,0,6,41,31,61,71,7.99,24.77,18.61,0,0,F
RCB, Pawan Negi ,allrounder,50,35,365,14.04,126.3,0,0,4,31,20,42,36,7.87,27.62,21.06,0,0,I
SRH, Vijay Shankar ,allrounder,33,29,557,30.94,133.89,0,0,6,38,28,10,4,10.5,73.5,42,0,0,I
SRH, Abhishek Sharma ,allrounder,6,6,72,24,171.43,0,0,4,8,9,2,3,10.5,21,12,0,0,I
SRH, Mitchell Marsh ,allrounder,20,14,225,18.75,114.8,0,0,4,13,18,18,22,7.89,20.7,15.75,0,0,F
SRH, Mohammad Nabi ,allrounder,13,10,135,15,148.35,0,0,4,15,11,13,13,6.62,27.18,24.64,0,0,F
CSK, Murali Vijay ,batsmen,103,103,2587,26.4,122.84,2,0,15,243,93,,,,,,,,I
CSK, Ambati Rayudu ,batsmen,147,140,3300,28.7,125.95,1,0,20,278,122,,,,,,,,I
CSK, Suresh Raina ,batsmen,193,189,5368,33.34,137.11,1,0,40,493,196,,,,,,,,I
CSK, Faf du Plessis ,batsmen,71,64,1853,31.41,126.74,0,0,14,163,61,,,,,,,,F
CSK, Kedar Jadhav ,batsmen,79,70,1079,22.96,126.49,0,0,6,92,40,,,,,,,,I
DC, Shreyas Iyer (Captain) ,batsmen,62,62,1681,30.56,126.96,0,0,15,149,69,,,,,,,,I
DC, Ajinkya Rahane ,batsmen,140,132,3820,32.93,121.93,2,0,29,404,76,,,,,,,,I
DC, Shikhar Dhawan ,batsmen,159,158,4578,33.17,124.78,0,0,39,524,98,,,,,,,,I
DC, Shimron Hetmyer ,batsmen,5,5,90,18,123.29,0,0,3,4,9,,,,,,,,F
DC, Jason Roy ,batsmen,8,8,179,29.83,133.58,0,0,3,18,10,,,,,,,,F
DC, Prithvi Shaw ,batsmen,25,25,598,23.92,141.04,0,0,6,72,21,,,,,,,,I
KX1P, Mandeep Singh ,batsmen,97,84,1529,22.16,124.71,0,0,7,160,35,,,,,,,,I
KX1P, Karun Nair ,batsmen,69,63,1464,24.81,128.53,0,0,12,158,41,,,,,,,,I
KX1P, Sarfaraz Khan ,batsmen,33,23,408,27.2,142.66,0,0,3,45,13,,,,,,,,I
KX1P, Mayank Agarwal ,batsmen,77,72,1270,18.41,128.54,0,0,7,118,54,,,,,,,,I
KX1P, Chris Gayle ,batsmen,125,124,4484,41.14,151.03,6,0,30,369,328,,,,,,,,F
KKR, Eoin Morgan ,batsmen,52,45,854,21.35,121.13,0,0,6,72,36,,,,,,,,F
KKR, Nikhil Naik ,batsmen,3,3,30,10,63.83,0,0,2,2,2,,,,,,,,I
KKR, Siddhesh Lad ,batsmen,1,1,15,15,115.38,0,0,2,1,3,,,,,,,,I
KKR, Rinku Singh ,batsmen,9,7,66,11,101.54,0,0,2,5,4,,,,,,,,I
KKR, Rahul Tripathi ,batsmen,34,33,758,26.14,137.32,0,0,6,74,29,,,,,,,,I
MI, Rohit Sharma (Captain) ,batsmen,188,183,4898,31.6,130.82,1,0,38,431,196,,,,,,,,I
MI, Saurabh Tiwary ,batsmen,81,65,1276,28.36,119.59,0,0,9,93,47,,,,,,,,I
MI, Chris Lynn ,batsmen,41,41,1280,33.68,140.66,0,0,12,128,65,,,,,,,,F
MI, Suryakumar Yadav ,batsmen,85,71,1544,28.07,131.63,0,0,9,160,49,,,,,,,,I
RR, Steven Smith (Captain) ,batsmen,81,72,2022,37.44,128.95,1,0,10,180,51,,,,,,,,F
RR, Riyan Parag ,batsmen,7,5,160,32,126.98,0,0,3,17,7,,,,,,,,I
RR, David Miller ,batsmen,79,77,1850,34.26,138.78,1,0,11,126,89,,,,,,,,F
RR, Manan Vohra ,batsmen,49,45,1012,23.53,131.77,0,0,5,97,41,,,,,,,,I
RCB, Virat Kohli (Captain) ,batsmen,177,169,5412,37.85,131.61,5,0,38,480,192,,,,,,,,I
